Key,english
QuestCookieFactoryOilWorkstationDesc,"An access card to Shaws Cookie Works that is configured to assemble the Industry Shrine"
CookieFactoryWorkstation_name,Shaw's Cookie Works Shrine Assembly
CookieFactoryWorkstation_subtitle,Shaw's Cookie Works Shrine Assembly
CookieFactoryWorkstation_offer,"Start Shaw's Cookie Works to produce a new Shrine."
CookieFactoryWorkstation_description,"Start Shaw's Cookie Works to produce a new Shrine."
CookieRaw1,[DECEA3]Unrefined Cookietonium[-]
CookieRaw1Desc,"Extremely difficult to process due to shaws unstable energy."
CookieRaw2,[DECEA3]Condensed Chocolate Chips[-]
CookieRaw2Desc,"Cookietonium exerts large forces on its surroundings creating the chocolate chips that encase Cookietonium"
CookieProcessed1,[000000]Cookietonium Ingot[-]
CookieProcessed1Desc,"It will take over 100000 ingots to equal 1% of Shaws power."
BiggestBundle,Biggest Box
BiggestBundleDesc,"Gives you a new melee weapon"
BiggestBundle2,Biggest Box
BiggestBundle2Desc,"Gives you a new ranged weapon"
KanyeSign,Kanye Sign
attshaw,Shaw's Blessing
attShawDescRank1,Requires level 150 then use Shaw's Blessing
attShawName,Shaw's Blessing
attShawDesc,"Learn to use shaws powers"
attshawrecipes,Shaw's Blessing
attShawRecipesName,Shaw's Blessing
attShawRecipesDesc,"Learn about chimps."
skillShawName,Cookie Knowledge
skillShawDesc,"Learn how to make use of cookietonium and heads"
skillShaw2Name,Cookie Combat
skillShaw2Desc,"Learn how to fight with legendary weapons."
skillShaw3Name,Cookie Enhancements
skillShaw3Desc,"Upgrade your body to withstand heavy damage."
skillShaw4Name,Cookie Perks
skillShaw4Desc,"Gain powerful perks to enhance various items."
skillShawRecipesName,Chimpout Advisory
skillShawRecipesDesc,"Current chimpout level"
perkCraftShawName,Cookie Creation
perkCraftShawDesc,"Create things from cookietonium and heads"
perkMeleeShawName,Cookie Melee
perkMeleeShawDesc,"Learn Shaw's lost melee techniques"
perkEndlessHungerName,Endless Hunger
perkEndlessHungerDesc,"Learn to eat more"
perkBiggestMeleeRecipesName,Biggest Melee Weapons
perkBiggestMeleeRecipesDesc,"Create the Biggest melee weapons"
perkBiggestMeleeRecipesRank1Desc,"Craft The 70 Shocker"
perkBiggestMeleeRecipesRank2Desc,"Craft The 70 Slamers"
perkBiggestMeleeRecipesRank3Desc,"Craft The 70 Slasher"
perkBiggestMeleeRecipesRank4Desc,"Craft The 70 Smasher"
perkBiggestGunsRecipesName,Biggest Guns
perkBiggestGunsRecipesDesc,"Create the Biggest guns"
perkBiggestGunsRecipesRank1Desc,"Craft The Biggest Pistol"
perkBiggestGunsRecipesRank2Desc,"Craft The Biggest Shotgun"
perkBiggestGunsRecipesRank3Desc,"Craft The Biggest Rifle"
perkBiggestGunsRecipesRank4Desc,"Craft The Biggest Assault Rifle"
perkBiggestGunsRecipesRank5Desc,"Craft The Biggest Minigun"
perkBiggestToolsRecipesName,Biggest Tools
perkBiggestToolsRecipesDesc,"Create the Biggest tools"
perkBiggestToolsRecipesRank1Desc,"Craft The 70 Multitool"
perkBiggestToolsRecipesRank2Desc,"Craft The 70 Harvester"
perkBiggestArmorRecipesName,Biggest Armor
perkBiggestArmorRecipesDesc,"Create the Biggest armor"
perkBiggestArmorRecipesRank1Desc,"Craft Big Armor Plating"
perkBiggestArmorRecipesRank2Desc,"Craft Bigger Armor Plating"
perkBiggestArmorRecipesRank3Desc,"Craft Biggest Armor Plating"
perkBiggestArmorRecipesRank4Desc,"Craft The Biggest Armor"
perkBiggestBombsRecipesName,Biggest Explosives
perkBiggestBombsRecipesDesc,"Create the Biggest explosives"
perkBiggestBombsRecipesRank1Desc,"Craft The Grenade Assault Rifle and Standard Trolls"
perkBiggestBombsRecipesRank2Desc,"Craft Bigger Trolls"
perkBiggestBombsRecipesRank3Desc,"Craft Biggest Trolls "
perkBiggestBombsRecipesRank4Desc,"Craft Hyper Trolls"
perkBiggestBombsRecipesRank5Desc,"Craft The Biggest Bazooka and Mega Trolls"
perkQuestRecipesName,Cookie Production
perkQuestRecipesDesc,"Craft Cookie Works Access Cards"
perkQuestRecipesRank1Desc,"Craft Basic Cards"
perkEndlessHunger1Desc,"Take less damage from all head flames at the cost of food and water, increases max food and water, allows binge eating, immune to the effects of hunger and thirst, immune to food poisoning and dysentery, unlocks Wyatt Butter"
reqPlayerLevel150,Player Level 150
reqPlayerLevel175,Player Level 175
reqPlayerLevel200,Player Level 200
reqPlayerLevel250,Player Level 250
reqPlayerLevel300,Player Level 300
reqPlayerLevel350,Player Level 350
reqattShaw,Shaw's Blessing
reqMaxBlunt,All Blunt Weapons Skills Maxed
reqMaxBladed,All Bladed Weapons Skills Maxed
reqMaxTools,All Harvesting Tools Skills Maxed
reqperkPummelPete,Pummel Pete Maxed
reqperkBreakingAndEntering,Breaking And Entering Maxed
reqperkBarBrawling,Bar Brawling Maxed
reqperkKnifeGuy,Knife Guy Maxed
reqperkBladeMaster,Blade Master Maxed
reqperkSpearMaster,Spear Master Maxed
reqperkMiner69r,Miner 69'er Maxed
reqperkFlurryOfBlows,Flurry Of Blows Maxed
reqperkWellMaintained,Well Maintained Maxed
reqperkSalvageOperations,Salvage Operations Maxed
reqTheCompletionist,The Completionist Perk
reqperkASAthletics,All Athletics Skills Maxed
reqattFortitude,Health Nut Maxed
reqperkSexualTrex,Sexual Tyrannosaurus Maxed
reqperkParkour,Parkour Maxed
reqperkFromTheShadows,From The Shadows Maxed
reqperkSlowMetabolism,Iron Gut Maxed
reqperkSousChef,Sous Chef Maxed
reqperkPainTolerance,Pain Tolerance Maxed
perkCraftShawRank1Desc,"Craft the 70 Catalyst"
perkCraftShawRank2Desc,"Craft Shrines and Foundries"
perkCraftShawRank3Desc,"Craft the 70 Fabricator"
perkMeleeShawRank1Desc,"Learn Shaw's lost melee techniques"
ShawsBlessing,Riot Blessing
ShawsBlessingDesc,"Increases Chimpout Levels."
ShawsBlessing2,Shaw's Blessing
ShawsBlessing2Desc,"Shaw's Blessing will cleanse you and grant you new knowledge."
ShawsBlessing3,Shaw's Blessing
ShawsBlessing3Desc,"Shaw's Blessing will cleanse you and grant you new knowledge."
ShawsBlessing4,Shaw's Blessing
ShawsBlessing4Desc,"Shaw's Blessing will cleanse you and grant you new knowledge."
ShawsBlessing5,Shaw's Blessing
ShawsBlessing5Desc,"Shaw's Blessing will cleanse you and grant you new knowledge."
attShawRank1Desc,"Requires you to begin eating fruits."
GoldChestBlessing,Golden Chest
GoldChestBlessing2,Golden Chest
GoldChestEssenceKeyDesc,"POI EssenceKey"
GoldChestBlessingDesc,"POI Blessing"
buffShawRegenDesc,Cookie Regen
BiggestSellerPOI,70 Exchange
LegendaryCrate,"[0000FF]Locked Man Egg[-]"
LegendaryCrateDesc,"Open to get a legendary gun."
LegendaryCrate2,"Locked Man Egg (Melee)"
LegendaryCrate2Desc,"Craft and open to get a legendary melee item."
LegendaryBox,Unlocked Man Egg
BiggestSellerPOIDesc,"Use in POI"
BiggestShotgun,Biggest Shotgun
BiggestShotgunDesc,"An otherworldly weapon created from sacred heads, fires a dense barrage of cookies that tear through flesh and bone. It feels as it is somehow connected to Cardriver70."
BiggestAssaultRifle,Biggest Assault Rifle
BiggestAssaultRifleDesc,"An otherworldly weapon created from sacred heads, fires a hail of cookies that tear through flesh and bone. It feels as it is somehow connected to Cardriver70."
BiggestPistol,Biggest Pistol
BiggestPistolDesc,"An otherworldly weapon created from sacred heads, fires unstable cookies that tear through flesh and bone. It feels as it is somehow connected to Cardriver70."
BiggestSniper,Biggest Rifle
BiggestSniperDesc,"An otherworldly weapon created from sacred heads, fires long range cookies that tear through flesh and bone. It feels as it is somehow connected to Cardriver70."
CookieAmmo1,Cookietonium Round
CookieAmmo1Desc,"Cookietonium rounds travel at extreme speeds and weaken all head zombies"
CookieAmmo2,Bigger Cookietonium Round
CookieAmmo2Desc,"Cookietonium rounds travel at extreme speeds and weaken all head zombies"
CookieAmmo3,Biggest Cookietonium Round
CookieAmmo3Desc,"Cookietonium rounds travel at extreme speeds and weaken all head zombies"
PopeyesCrate,Sealed Popeyes Crate
LootCratePopeyes,Popeyes Box
HarambeWorkstation,Harambe Shrine
HarambeWorkstationDesc,"Harambe gives you rare materials."
RuinsWorkstation,Ruins Shrine
RuinsWorkstationDesc,"Ruins give you knowledge."
SakuraGardenWorkstation,Nature Shrine
SakuraGardenWorkstationDesc,"Nature gives you food."
OilWorkstation,Industry Shrine
OilWorkstationDesc,"Industry gives you materials."
ShawSignName,Shaw Sign
buffMeleeShawDesc,Shaw's Rage
buffMeleeShawLongDesc,"Charge by attacking with big weapons and unleash Shaw's rage"
armorBiggestGroupDesc,"Nothing Bigger. Nothing Better.\nIncreases max wellness by 110."
armorBiggestHelmet,Biggest Helmet
armorBiggestVest,Biggest Vest
armorBiggestGloves,Biggest Gloves
armorBiggestLegs,Biggest Legs
armorBiggestBoots,Biggest Boots
TempleDoorDesc,"Normal Temple Door Set as locked and use button to open"
TempleDoorLockedDesc,"Has key to open dont use with button"
TempleDoorUnlockedDesc,"Unlocked"
TempleDoorUnlocked,Temple Door
BlackName,Pure Black
GavinSign1024,Gavin Sign
ShawSign1024,Shaw Sign
ShawSign512,Shaw Sign Small
GusSign1024X512,Angus Sign
KGBSign1024X512,KGB Sign
KGBMenu512X1024,KGB Menu
KGBLogo512,KGB Sign
KGBMenu512,KGB Menu
V2KGBMenu512,KGB Menu
V3KGBMenu512,KGB Menu
KGBSign512,KGB Sign
V2KGBSign512,KGB Sign
PeterSign1024X512,Peter Sign
MukySign1024X512,Muky Sign
PeterSign2048X1024,Medium Peter Sign
MukySign2048X1024,Medium Muky Sign
PeterSign4096X2048,Big Peter Sign
MukySign4096X2048,Big Muky Sign
MukySign1024X512,Muky Sign
JohnaSign1024X512,Johna Sign
JohnaSign1024X512Slant,Slanted Johna Sign
Black,Pure Black
GavinSign1024Slant,Slanted Gavin Sign
ShawSign1024Slant,Slanted Shaw Sign
ShawSign512Slant,Slanted Shaw Sign Small
GusSign1024X512Slant,Slanted Angus Sign
KGBSign1024X512Slant,Slanted KGB Sign
KGBMenu512X1024Slant,Slanted KGB Menu
KGBLogo512Slant,Slanted KGB Sign
KGBMenu512Slant,Slanted KGB Menu
V2KGBMenu512Slant,Slanted KGB Menu
V3KGBMenu512Slant,Slanted KGB Menu
KGBSign512Slant,Slanted KGB Sign
V2KGBSign512Slant,Slanted KGB Sign
PeterSign1024X512Slant,Slanted Peter Sign
MukySign1024X512Slant,Slanted Muky Sign
MukySign512Slant,Slanted Muky Sign
BlackSlant,Slanted Pure Black
tutorialTipQuest01,"This mod was made as a Darkness Falls addon and requires Darkness Falls to run. This mod was made only for insane difficulty. This mod will not fare well on lower end systems.\n\nDon't get cuffed, make Shaw proud!!!"
tutorialTipQuest01_title,Welcome To Z Shaw
tutorialTipQuest02,"One day after falling sick from an unknown disease Shaw began to lose his mind and control of his vast power. In the coming days the area was evacuated as Shaw became more unstable losing more and more control. After being corrupted Shaw began to spread his infection creating a wasteland where people mutated into strange beings with huge heads. You will not be able to defeat Shaw on your own and will need the assistance of Cardriver70. Cardriver70 doesn't just help anyone and will only associate those who have proven their strength."
tutorialTipQuest02_title,The Cookie Apocalypse
PopeyesCrate,Sealed Popeyes Crate
PopeyesBox,Popeyes Box
RonaldoCrate,Sealed Ronaldo Crate
RonaldoBox,Ronaldo Box
EDPCrate,Sealed EDP Crate
EDPBox,EDP Box
TrumpCrate,Sealed Orange Man Crate
TrumpBox,Orange Man Box
CardriverCrate,Sealed Cardriver70 Crate
CardriverBox,Cardriver70 Box
GavinCrate,Sealed GJacobs Crate
GavinBox,GJacobs Box
GusCrate,Sealed Angus Crate
GusBox,Angus Box
MukyCrate,Sealed Muckeen Crate
MukyBox,Muckeen Box
KGBCrate,Sealed KGB Crate
KGBBox,KGB Box
JohnaCrate,Sealed Johna Crate
JohnaBox,Johna Box
PeterCrate,Sealed Peter Crate
PeterBox,Peter Box
buffInjuryBurnBigDesc,"Head Burn"
buffInjuryBurnBigLongDesc,"Your flesh still radiates heat from the burn doing more damage and making you vulnerable.\nTake more physical damage.\nLose 1hp/second."
buffInjuryBurnBigTooltip,"The flames singe your flesh!"
buffInjuryBleedingBigDesc,"Head Bleeding"
buffInjuryBleedingBigLongDesc,"Thats one big wound you better do something fast.\nLose health at a fast rate"
buffInjuryBleedingBigTooltip,"Blood gushes from your wounds!"
buffInjuryLegBrokenBigDesc,"Head Leg Break"
buffInjuryLegBrokenBigLongDesc,"I dont think your leg should bend that way.\nSevere mobility loss."
buffInjuryLegBrokenBigTooltip,"Your leg shatters under the impact!"
buffInjuryArmBrokenBigDesc,"Head Arm Break"
buffInjuryArmBrokenBigLongDesc,"I dont think your arm should bend that way.\nSevere dexterity loss."
buffInjuryArmBrokenBigTooltip,"Your arm shatters under the impact!"
buffInjuryHeadBigDesc,"Head Skull Fracture"
buffInjuryHeadBigLongDesc,"Your head is ringing from the impact.\nRandomly lose a large amount of health."
buffInjuryHeadBigTooltip,"Your head begins to spin!"
buffInjuryHexedBigDesc,"Head Hex"
buffInjuryHexedBigLongDesc,"You have been hexed by unstable energy so act quick.\nYou will die if you do nothing"
buffInjuryHexedBigTooltip,"You are overcome with dread!"
ShawTomsBeans,Tom's Beans
ShawTomsBeansDesc,"Quality you can count on!\n125 Food\n10 Wellness"
buffShawTomsBeansDesc,"Tom's Beans"
buffShawTomsBeansLongDesc,"Heals you 2hp/second"
ShawTurkeyLeg,Turkey Leg
ShawTurkeyLegDesc,"Gobble Gobble Yum Yum! Forks are lame...\n125 Food\n10 Wellness"
buffShawTurkeyLegDesc,"Turkey Leg"
buffShawTurkeyLegLongDesc,"Heals you 2hp/second"
ShawSpaceSandwich,Space Sandwich
ShawSpaceSandwichDesc,"I want a space sandwich! And NO SPACE MAYONAISE!\n125 Food\n10 Wellness"
buffShawSpaceSandwichDesc,"Space Sandwich"
buffShawSpaceSandwichLongDesc,"Heals you 2hp/second"
ShawWaffle,ROFL Waffle
ShawWaffleDesc,"You can't have ROFL Waffles and pancaiks for breakfast. You have to choose. I'm on team waffle!\n125 Food\n10 Wellness"
buffShawWaffleDesc,"ROFL Waffle"
buffShawWaffleLongDesc,"Heals you 3hp/second"
ShawHam,Holiday Ham
ShawHamDesc,"Best way to stay healthy and strong this holiday season? Enjoy some of this holiday ham!\n125 Food\n10 Wellness"
buffShawHamDesc,"Holiday Ham"
buffShawHamLongDesc,"Heals you 2hp/second"
ShawGoalaCola,Goala Cola
ShawGoalaColaDesc,"GGOOOOOOOAAAAAAAALLLLLL!\n250 Water\n20 Wellness"
buffShawGoalaColaDesc,"Goala Cola"
buffShawGoalaColaLongDesc,"Heals you 2hp/second"
ShawPirateJuice,Pirate Juice
ShawPirateJuiceDesc,"Taking a pirate's juice cup is the surest way to get a sword through yer belly!\n250 Water\n20 Wellness"
buffShawPirateJuiceDesc,"Pirate Juice"
buffShawPirateJuiceLongDesc,"Heals you 2hp/second"
ShawChocolateMilk,Chocolate Milk
ShawChocolateMilkDesc,"Yes, there is an irritating slurping noise.\n125 Water\n10 Wellness"
buffShawChocolateMilkDesc,"Chocolate Milk"
buffShawChocolateMilkLongDesc,"Heals you 2hp/second"
ShawDrBob,Dr. Bob
ShawDrBobDesc,"Warning: Dr. Bob may be habit-forming.\n125 Water\n10 Wellness"
buffShawDrBobDesc,"Dr. Bob"
buffShawDrBobLongDesc,"Heals you 2hp/second"
ShawFoodBundle,Food Package
ShawFoodBundleDesc,"While theres no way to know what food you just made you can be assured it will be delicious"
ShawDrinkBundle,Drink Package
ShawDrinkBundleDesc,"While theres no way to know what drink you just made you can be assured it will be delicious"
ShawChurro,Brother Muckeen's Churros
ShawChurroDesc,"Brother Muckeen's Famous Churros\nRun 25% faster\n250 Food\n25 Wellness"
buffShawChurroDesc,"Brother Muckeen's Churros"
buffShawChurroLongDesc,"Run 25% faster\nHeals you 5hp/second\nHeals you 10Stamina/second"
ShawPopeyesMeal,$6 Popeyes Meal Deal
ShawPopeyesMealDesc,"A chimp's favorite meal, greatly increases agression."
ShawKFCBucket,$20 KFC Big Bucket
ShawKFCBucketDesc,"A chimp's favorite meal, greatly increases agression."
buffShawKFCBucketDesc,"Chimpout Chicken"
buffShawKFCBucketLongDesc,"Move 25% faster."
ShawGoatCheese,Gus's Goatcheese
ShawGoatCheeseDesc,"Gus's goatcheese contains over 10% real gold!\n25% barter bonus\n250 Food\n25 Wellness"
buffShawGoatCheeseDesc,"Gus's Goatcheese"
buffShawGoatCheeseLongDesc,"25% barter bonus\nHeals you 5hp/second\nHeals you 10Stamina/second"
ShawPizza,Pepperoni Pizza
ShawPizzaDesc,"Nom nom nom. Pizza = delicious.\n250 Food\n25 Wellness"
buffShawPizzaDesc,"Pepperoni Pizza"
buffShawPizzaLongDesc,"\nHeals you 5hp/second\nHeals you 15Stamina/second"
ShawMarijuana,GJacobs Premium Blunt
ShawMarijuanaDesc,"May cause unknown side effects\n50 Wellness"
ShawWhiskey,Old Whiskey
ShawWhiskeyDesc,"Older than your mom.\nGives three wellness up to 550."
ShawCoffee,Cuff Coffee
ShawCoffeeDesc,"English teacher approved.\nGives three wellness up to 550."
HeadEssenceT1,[DECEA3]Big Head Essence[-]
HeadEssenceT1Desc,"A fragment of the power of a big head zombie."
HeadEssenceT1V2,Big Head Essence
HeadEssenceT1V2Desc,"A fragment of the power of a big head zombie"
HeadEssenceT2,Weak Bigger Head Essence
HeadEssenceT2Desc,"A fragment of the power of a bigger head zombie"
buffShawHealthRegenDesc,"Shaw Health Regeneration"
buffShawHealthRegenLongDesc,"The amount of health you are gaining per second from various effects."
buffShawStaminaRegenDesc,"Shaw Stamina Regeneration"
buffShawStaminaRegenLongDesc,"The amount of stamina you are gaining per second from various effects."
buffShawGSDesc,"Shaw Gamestage"
buffShawGSLongDesc,"Your game stage can be increased with knowledge to unlock new items"
buffShawGSTempDownDesc,"Riots Incoming"
buffShawGSTempDownLongDesc,"A count down untill stronger enemies spawn."
buffShawWellnessTrackerDesc,"Shaw Wellness Max"
buffShawWellnessTrackerLongDesc,"Displays your max wellness."
buffShawDefenseTrackerDesc,"Shaw Defense"
buffShawDefenseTrackerLongDesc,"Displays your defense against big damage."
buffShawFireDefenseTrackerDesc,"Shaw Fire Defense"
buffShawFireDefenseTrackerLongDesc,"Displays your defense against fire damage."
buffBiggestMelee2ComboReadyDesc,"Biggest Combo"
buffBiggestMelee2ComboReadyLongDesc,"Power attack to do big damage!"
BigHeadBlock,Big Head Statue
BiggerHeadBlock,Bigger Head Statue
BiggestHeadBlock,Biggest Head Statue
reqShawRecipes,"Use Shaw's Knowledge"
ShawKnowledgeGroupDesc,"Gives you the knowledge to create more items"
ShawKnowledgeBiggestBaton,"Shaw's Knowledge The 70 Shocker"
ShawKnowledgeBiggestFist,"Shaw's Knowledge The 70 Slamers"
ShawKnowledgeBiggestSword,"Shaw's Knowledge The 70 Slasher"
ShawKnowledgeBiggestHammer,"Shaw's Knowledge The 70 Smasher"
ShawKnowledgeBiggestPistol,"Shaw's Knowledge The Biggest Pistol"
ShawKnowledgeBiggestShotgun,"Shaw's Knowledge The Biggest Shotgun"
ShawKnowledgeBiggestSniper,"Shaw's Knowledge The Biggest Rifle"
ShawKnowledgeBiggestAssaultRifle,"Shaw's Knowledge Biggest Assault Rifle"
ShawKnowledgeBiggestGun,"Shaw's Knowledge The Biggest Minigun"
ShawKnowledgeShawUpgradeTool,"Shaw's Knowledge The 70 Multitool"
ShawKnowledgeBiggestPickaxe,"Shaw's Knowledge The 70 Harvester"
ShawKnowledgemodArmorPlatingBig,"Shaw's Knowledge Big Armor Plating"
ShawKnowledgemodArmorPlatingBigger,"Shaw's Knowledge Bigger Armor Plating"
ShawKnowledgemodArmorPlatingBiggest,"Shaw's Knowledge Biggest Armor Plating"
ShawKnowledgearmorBiggest,"Shaw's Knowledge The Biggest Armor"
ShawKnowledge40mmGLAmmo,"Shaw's Knowledge The Grenade Assault Rifle"
ShawKnowledge40mmGLAmmo2,"Shaw's Knowledge Bigger Trolls"
ShawKnowledge40mmGLAmmoBiggest,"Shaw's Knowledge Biggest Trolls"
ShawKnowledge40mmGLAmmoHyper,"Shaw's Knowledge Hyper Trolls"
ShawKnowledgeBiggestGLAmmo,"Shaw's Knowledge The Biggest Bazooka"
ShawKnowledgeQuestRecipes,"Shaw's Knowledge The Cookie Works"
ScoutKillZeds,"White River Training"
ScoutKillZeds_offer,"Listen up Fucker,\nThe only reason you're not dead is because I like you. That's right we've been watching you. We could use someone with your talents so if you can handle this little tiny task you might just survive around here.\n\nKill 750 Zombies"
ScoutQuestAskText,Can i help?
ScoutQuestOfferText,Sure. but it wont be easy.
ScoutQuestOne,Quest - White River Training
ShawSugar,"Shaw Sugar"
ShawSugarDesc,"Sugar that gives off radiation."
ShawWater,"Shaw Water"
ShawWaterDesc,"Looks and smells of sewage."
ShawCarbon,"Shaw Carbon Gas"
ShawCarbonDesc,"An old rusty tank of mostly carbon gas."
ShawMeat,"Shaw Meat"
ShawMeatDesc,"Meat exposed to big flames."
ShawBread,"Shaw Bread"
ShawBreadDesc,"Bread that is stronger than steel."
ShawCheese,"Shaw Cheese"
ShawCheeseDesc,"A block of cheese created from unknown ingredients."
ShawNeedle,"Used Needle"
ShawNeedleDesc,"Can probably be reused."
ShawEgg,"Shaw Egg"
ShawEggDesc,"A huge egg with an unusual glow."
ShawMinerals,"Shaw Metals"
ShawMineralsDesc,"An assortment of heavy metals grinded into a powder."
EyeballT1,"Eyeball"
EyeballT1Desc,"MAMA EYEBALL"
HydroponicsBasinShaw,Hydroponics Basin
HydroponicsBasinShawDesc,"A hydroponics basin. Will grow crops in a compact space."
HydroponicsGrowLights,Grow Lights
HydroponicsGrowLightsDesc,Growing lights. Increases speed of hydroponic basins.
perkYeahScienceRank3LongDesc,"You can craft advanced firearm ammunition and stun batons.\nUnlocks the Hydroponics recipes.\nIncreases damage for all batons by 30%"
perkYeahScienceRank5LongDesc,"You can craft battery banks and the Broadcast Upgrade for containers.\nUnlocks the Grow Lights for Hydroponics recipe.\nIncreases damage for all batons by 50%"
ShawAmmoHeavy,"[DECEA3]Compressed Heavy Ammo[-]"
ShawAmmoHeavyDesc,"Specialized Ammo used in legendary weapons."
ShawAmmo762,"[DECEA3]Compressed Rifle Ammo[-]"
ShawAmmo762Desc,"Specialized Ammo used in legendary weapons."
ShawAmmo44,"[DECEA3]Compressed Magnum Ammo[-]"
ShawAmmo44Desc,"Specialized Ammo used in legendary weapons."
ShawAmmoShell,"[DECEA3]Compressed Shotgun Shell[-]"
ShawAmmoShellDesc,"Specialized Ammo used in legendary weapons."
ShawAmmoHeavyCharged,"[DECEA3]Charged Heavy Ammo[-]"
ShawAmmoHeavyChargedDesc,"Charged ammo provides double damage over compressed ammo."
ShawAmmo762Charged,"[DECEA3]Charged Rifle Ammo[-]"
ShawAmmo762ChargedDesc,"Charged ammo provides double damage over compressed ammo."
ShawAmmo44Charged,"[DECEA3]Charged Magnum Ammo[-]"
ShawAmmo44ChargedDesc,"Charged ammo provides double damage over compressed ammo."
ShawAmmoShellCharged,"[DECEA3]Charged Shotgun Shell[-]"
ShawAmmoShellChargedDesc,"Charged ammo provides double damage over compressed ammo."
buffCampfireAOEEffectDesc,"The fire heals you over time."
HydraulicPress,"[DECEA3]Hydraulic Press[-]"
HydraulicPressDesc,"Compress things."
perkASMeleeShawName,"Sword Mastery"
perkASMeleeShawDesc,"Increased by using swords.\n\nCurrent XP/XP to Next Level: {cvar($AS_ShawMelee_XP:0)}/{cvar($AS_ShawMelee_LvlNextTotal:0)}"
skillShawBaseGameMelee,"Exotic Weapons"
skillShawBaseGameMeleeName,"Exotic Weapons"
skillShawBaseGameMeleeDesc,"Increase your exotic weapons skill."
perkASMeleeShaw1Desc,"Noob"
perkASMeleeShaw1LongDesc,"Prevents you from hurting yourself.\nIncreased swing speed, damage and reduces stamina cost."
perkASMeleeShaw2Desc,"Pro"
perkASMeleeShaw2LongDesc,"Hit up to three zombies at once.\nIncreased swing speed, damage and reduces stamina cost."
perkASMeleeShaw3Desc,"Bloxxer"
perkASMeleeShaw3LongDesc,"Unlocks power attacks.\nIncreased swing speed, damage and reduces stamina cost."
perkASMeleeShaw4Desc,"Hacker"
perkASMeleeShaw4LongDesc,"Move faster while holding a sword and hit up to five zombies at once.\nAble to reforge and use some swords.\nIncreased swing speed, damage and reduces stamina cost."
perkASMeleeShaw5Desc,"God"
perkASMeleeShaw5LongDesc,"Gain the swordmaster skill that allows you to build up power on every slash and kill.\nPower attacks require five power but are empowered.\nAble to reforge and use all swords.\nIncreased swing speed, damage and reduces stamina cost.\nRequires you to eat a Monkey Fruit."
buffShawRevolverComboDesc,"Jailbreak Combo"
buffShawRevolverComboLongDesc,"Increase reload speed with every hit resets on reload.\nGetting over six gives additional speed and damage."
buffShawMartiniHenryComboDesc,"Martini Henry Combo"
buffShawMartiniHenryComboLongDesc,"Gain combo on every shot and double on kills.\nCombo increases damage and reload speed but fades over time.\nHigh combos also give firerate."
lblCategoryShawAmmo,"Hydraulic Press"
lblCategoryGunParts,"Gun Parts"
lblCategoryShawMats,"Advanced Materials"
buffLinkedSwordPowerAtkCooldownDesc,"Linked Sword Power Attack Cooldown"
buffLinkedSwordPowerAtkCooldownLongDesc,"Cooldown for using a power attack.\nReduced by getting kills."
perkUnleashHellName,"Unleash Hell"
perkUnleashHellDesc,"Gained by drinking unleash hell."
perkUnleashHell1Desc,"Increases your game stage by 25%.\nRequired to eat a miracle fruit."
DFdrinkJarUnleashHellDesc,"Increases your game stage by 25%."
reqperkUnleashHell,"Requires Unleash Hell"
BloodOrange,"[FE9900]Blood Orange[-]"
BloodOrangeDesc,"Makes you stronger when eaten increasing blood flow.\nRequires Health Nut 5 to eat."
perkBloodOrangeName,"Blood Orange"
perkBloodOrangeDesc,"Gained by eating a blood orange."
perkBloodOrange1Desc,"Increase max wellness by 25.\nGrants 5 stamina per second regardless of your condition.\nGain immunity to radiation."
MericleFruit,"[5DE2E7]Miracle Fruit[-]"
MericleFruitDesc,"Makes you stronger when eaten hardening your skin.\nRequires you to have consumed a blood orange."
perkMericleFruitName,"Miracle Fruit"
perkMericleFruitDesc,"Gained by eating a miracle fruit."
perkMericleFruit1Desc,"Increase max wellness by 25.\nGrants 5 stamina per second regardless of your condition."
reqperkMericleFruit,"Requires Miracle Fruit"
Elderberry,"[C501FC]Elderberry[-]"
ElderberryDesc,"Makes you stronger when eaten increasing your intelligence.\nRequires you to have consumed a miracle fruit."
perkElderberryName,"Elderberry"
perkElderberryDesc,"Gained by eating an elderberry."
perkElderberry1Desc,"Increase max wellness by 50.\nGrants 5 stamina per second regardless of your condition.\nIncreases your game stage by 25%."
reqperkElderberry,"Requires Elderberry"
MonkeyFruit,"[FFCC01]Monkey Fruit[-]"
MonkeyFruitDesc,"Makes you stronger when eaten by showing you the light.\nRequires you to have consumed a elderberry."
perkMonkeyFruitName,"Monkey Fruit"
perkMonkeyFruitDesc,"Gained by eating a monkey fruit."
perkMonkeyFruit1Desc,"Increase max wellness by 100.\nGrants 5 stamina per second regardless of your condition.\nStarts a chimpout."
reqperkMonkeyFruit,"Requires Monkey Fruit"
buffKnightVenomshankPlayerDebuffName,"Venomshank Venom"
buffKnightVenomshankPlayerDebuffDesc,"Slows you down and deals damage over time."
MountainDewMagic,"[FF0000]MLG Mountain Dew[-]"
MountainDewMagicDesc,"A can of mountain dew used by the most mlg players.\nCan be attached to guns to harness its power."
GoldBarMagic,"[FF0000]Magical Gold Bar[-]"
GoldBarMagicDesc,"A bar of gold with a dim glow.\nCan be worked into your guns to make them stronger."
RedcliffChestArmor,"[FF0000]Redcliff Chestplate[-]"
